Mat ID,Unit Price,Manuf name,Organization,Inventory Quantity,Inventory CapEx,Open Quantity,Open Quantity Value,Backorder Quantity,Median Leadtime,Predicted Capex,Inventory Exhaust Date,Safety Stock,Stock Level Flag,Reorder Point,Quantity to order,Reorder Date,Recommendation
GM22275938,9600.0,MICHELIN Wipers,Chevrolet Europe GmbH,366,3513607.32,839,8054400.0,0,60,259200.0,19-09-2024,47,Overstock,332,27,24-04-2025,
GM22145889,770.0,TOPRE CORPORATION,"Argonaut Holdings, Inc.",2,1607.28,11,8470.0,0,102,0.0,19-09-2024,6,Optimal,8,0,,
GM22194197,52.0,India Nippon Electricals Limited,Buttonpaper Limited,262,15054.52,40,2080.0,0,82,11596.0,20-09-2024,70,Understock,511,223,01-09-2024,Place PO
GM22147925,5600.0,MICHELIN Wipers,Chevrolet Europe GmbH,13,72820.15,37,207200.0,0,97,50400.0,20-09-2024,8,Optimal,38,9,12-10-2024,
GM22246237,6.34,Delphi-TVS Diesel Systems Limited,STANLEY,62,505.6,280,1775.2,0,73,589.62,21-09-2024,133,Understock,366,93,01-09-2024,Pull PO to 09-01-2024 & Place PO
GM22130210,49.5,Brake ENGINEERING,Chevrolet Europe GmbH,1010,50045.5,2031,100534.5,0,68,21730.5,23-09-2024,280,Overstock,1217,439,29-12-2024,Push PO to 11-08-2024
GM22246685,4.99,MITSUBA CORP,STANLEY,64,362.24,50,249.5,0,47,1457.08,24-09-2024,91,Understock,381,292,01-09-2024,Place PO
GM22247460,11.52,MITSUBA CORP,STANLEY,68,862.92,90,1036.8,0,29,852.48,24-09-2024,49,Optimal,138,74,08-09-2024,Pull PO to 09-10-2024
GM22241647,599.0,India Nippon Electricals Limited,Buttonpaper Limited,14,9095.48,7,4193.0,0,73,0.0,26-09-2024,6,Overstock,6,0,,Push PO to 11-13-2024
GM22257165,26911.5,MAXTRAC,"Athens Chevrolet, Inc.",29,804523.34,0,0.0,0,145,0.0,30-09-2024,7,Overstock,7,0,,
GM22247303,17.56,MITSUBA CORP,STANLEY,59,1159.35,20,351.2,0,50,17.56,02-10-2024,32,Optimal,71,1,11-09-2024,
GM22250585,10.12,MITSUBA CORP,STANLEY,429,4774.26,375,3795.0,0,28,1315.6,03-10-2024,81,Overstock,253,130,05-12-2024,Push PO to 09-29-2024
GM21925211,33.0,TOPRE CORPORATION,"Argonaut Holdings, Inc.",104,3522.48,284,9372.0,0,49,3102.0,03-10-2024,40,Optimal,276,94,25-09-2024,Pull PO to 09-30-2024 & Place PO
GM21828130,26.54,Delphi-TVS Diesel Systems Limited,STANLEY,1318,39287.35,5145,136548.3,0,85,0.0,04-10-2024,235,Overstock,699,0,,Push PO to 11-25-2024
GM22278539,25.9,Delphi-TVS Diesel Systems Limited,STANLEY,2772,78426.91,0,0.0,0,56,9790.2,04-10-2024,562,Optimal,1577,378,22-10-2024,
GM22247461,11.72,MITSUBA CORP,STANLEY,87,1127.52,90,1054.8,0,42,175.8,04-10-2024,76,Understock,177,15,02-09-2024,Pull PO to 10-02-2024 & Place PO
GM22250468,10.76,MITSUBA CORP,STANLEY,135,1574.45,175,1883.0,0,49,484.2,04-10-2024,41,Overstock,93,45,07-01-2025,Push PO to 10-20-2024
GM22278537,24.9,Delphi-TVS Diesel Systems Limited,STANLEY,3521,95736.41,0,0.0,0,55,622.5,07-10-2024,145,Overstock,305,25,03-10-2025,
GM21882483,10.75,ASYSUM,Buttonpaper Limited,2757,31057.51,969,10416.75,0,54,3536.75,07-10-2024,354,Optimal,2248,329,27-09-2024,
GM22027672,14.9,Lucas-TVS Limited,Approach (UK) Limited,49,865.83,35,521.5,0,77,134.1,08-10-2024,21,Optimal,74,9,02-10-2024,
GM22178842,17.09,Lucas-TVS Limited,Approach (UK) Limited,151,2840.39,167,2854.03,0,86,51.27,08-10-2024,47,Optimal,309,3,04-09-2024,
GM22171412,3.34,ALKAR,STANLEY,732,2630.09,0,0.0,0,21,10.02,09-10-2024,48,Overstock,104,3,07-10-2025,
GM22055515,189.95,BREMBO,Chevrolet Austria GmbH,26,5426.68,4,759.8,0,52,1329.65,11-10-2024,10,Understock,34,7,01-09-2024,
GM22247264,9.76,MITSUBA CORP,STANLEY,742,7946.82,490,4782.4,0,43,2498.56,14-10-2024,255,Optimal,910,256,22-09-2024,
GM22078084,98.0,BREDA LORETT,Boco Trust,34,4722.3,0,0.0,0,68,196.0,14-10-2024,3,Overstock,7,2,25-09-2024,
GM22070274,285.42,ASYSUM,Buttonpaper Limited,5,1427.35,0,0.0,0,14,0.0,14-10-2024,1,Overstock,1,0,,
GM22144378,372.69,ZHEJIANG WANFENG,Autohaus G.V.O. GmbH,88,38525.05,0,0.0,0,32,7826.49,15-10-2024,26,Optimal,53,21,04-10-2024,
GM22129419,508.61,Delphi-TVS Diesel Systems Limited,STANLEY,13,7355.92,16,8137.76,0,92,3051.66,15-10-2024,9,Optimal,18,6,01-10-2024,
GM22247452,9.92,MITSUBA CORP,STANLEY,172,1886.84,67,664.64,0,48,1547.52,15-10-2024,83,Understock,331,156,01-09-2024,Pull PO to 09-18-2024 & Place PO
GM22049077,80.0,AMPRO,"Argonaut Holdings, Inc.",80,6437.6,0,0.0,0,72,0.0,16-10-2024,17,Overstock,26,0,,
GM21948536,874.97,AUTO-SPEED PARTS,Buttonpaper Limited,10,7807.1,0,0.0,0,57,0.0,18-10-2024,3,Overstock,3,0,,
GM22167920,36.4,METZGER,STANLEY,162,6463.8,0,0.0,0,57,873.6,18-10-2024,46,Optimal,159,24,01-09-2024,
GM22226859,20.0,India Nippon Electricals Limited,Buttonpaper Limited,280,6151.54,162,3240.0,0,85,440.0,21-10-2024,59,Optimal,375,22,25-09-2024,
GM22250037,9.96,MITSUBA CORP,STANLEY,659,7217.38,245,2440.2,0,39,1205.16,22-10-2024,121,Overstock,389,121,03-11-2024,
GM22278487,23.9,Delphi-TVS Diesel Systems Limited,STANLEY,2654,69292.16,0,0.0,0,71,11089.6,22-10-2024,598,Optimal,1820,464,02-10-2024,
GM21960640,12.12,HERTH+BUSS JAKOPARTS,Autohaus G.V.O. GmbH,29,490.79,13,157.56,0,114,0.0,23-10-2024,5,Overstock,5,0,,
GM22243334,73.0,India Nippon Electricals Limited,Buttonpaper Limited,38,3193.52,0,0.0,0,71,0.0,24-10-2024,6,Overstock,6,0,,
GM21955818,17.9,WEIFU HIGH-TECH,Autohaus G.V.O. GmbH,10,181.0,14,250.6,0,1,0.0,25-10-2024,1,Overstock,1,0,,
GM22246302,5.55,Delphi-TVS Diesel Systems Limited,STANLEY,202,1228.16,0,0.0,0,60,0.0,25-10-2024,17,Overstock,30,0,,
GM22228081,383.53,MEHA AUTOMOTIVE,Buttonpaper Limited,18,7525.86,32,12272.96,0,91,0.0,27-10-2024,9,Overstock,9,0,,Push PO to 12-01-2024
GM21849783,2.81,ALKAR,STANLEY,269,837.01,250,702.5,0,30,309.1,28-10-2024,54,Optimal,278,110,21-09-2024,
GM22004072,54.0,Lucas-TVS Limited,Approach (UK) Limited,368,21909.9,0,0.0,0,145,0.0,29-10-2024,30,Overstock,142,0,,
GM22187754,65.0,MTS,Autohaus G.V.O. GmbH,79,5746.07,40,2600.0,0,26,1560.0,30-10-2024,14,Overstock,47,24,19-10-2024,Push PO to 09-27-2024
GM22145393,31.01,MAXTRAC,Buttonpaper Limited,438,14202.1,195,6046.95,0,66,1860.6,30-10-2024,113,Optimal,569,60,09-09-2024,
GM21880227,68.0,WULING MOTORS HLDGS LTD,Autohaus G.V.O. GmbH,42,1636.32,10753,731204.0,0,45,39984.0,30-10-2024,529,Overstock,1233,588,27-09-2025,
GM21932984,516.26,Delphi-TVS Diesel Systems Limited,Autohaus G.V.O. GmbH,20,10585.2,0,0.0,0,96,2065.04,30-10-2024,12,Understock,24,4,01-09-2024,
GM21988820,66.0,ASYSUM,Garrett,48,3170.88,0,0.0,0,49,264.0,31-10-2024,4,Overstock,22,4,30-09-2024,
GM21938567,256.0,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",6,1669.86,31,7936.0,0,42,1024.0,31-10-2024,7,Overstock,18,4,10-10-2024,
GM22180187,532.0,Lucas-TVS Limited,Approach (UK) Limited,11,6379.34,0,0.0,0,95,0.0,31-10-2024,5,Overstock,5,0,,
GM22261213,3386.0,Lucas-TVS Limited,Approach (UK) Limited,12,40632.0,4,13544.0,0,142,0.0,01-11-2024,4,Overstock,4,0,,Push PO to 01-21-2025
GM22164089,16.51,SW HITECH,Autohaus G.V.O. GmbH,112,1418.04,0,0.0,0,22,0.0,04-11-2024,3,Overstock,7,0,,
GM22164452,12.66,SW HITECH,STANLEY,398,5942.44,0,0.0,0,37,506.4,06-11-2024,73,Overstock,156,40,11-12-2024,
GM22217581,232.75,Lucas-TVS Limited,Approach (UK) Limited,21,5273.73,9,2094.75,0,131,1862.0,06-11-2024,11,Understock,30,8,09-11-2024,
GM22217636,199.23,Lucas-TVS Limited,Approach (UK) Limited,29,6286.62,10,1992.3,0,73,796.92,07-11-2024,9,Optimal,29,4,07-10-2024,
GM22247265,9.96,MITSUBA CORP,STANLEY,1953,21306.33,560,5577.6,0,46,1882.44,07-11-2024,724,Optimal,2281,189,08-09-2024,
GM21841984,1.93,ALKAR,STANLEY,2225,4719.39,6354,12263.22,0,25,463.2,07-11-2024,234,Overstock,560,240,25-10-2025,Push PO to 09-26-2024
GM22247479,15.32,MITSUBA CORP,STANLEY,72,1244.88,0,0.0,0,47,1041.76,08-11-2024,22,Overstock,29,68,23-11-2024,
GM22132467,2200.0,MAXTRAC,Chevrolet Europe GmbH,1,2256.06,2,4400.0,0,55,0.0,08-11-2024,1,Overstock,1,0,,Push PO to 10-26-2024
GM21959188,44.0,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,20,1166.0,0,0.0,0,128,44.0,12-11-2024,10,Optimal,16,1,07-04-2025,
GM21938565,260.0,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",6,1697.58,58,15080.0,0,54,5460.0,12-11-2024,16,Optimal,59,21,08-09-2024,Expedite PO & Pull PO
GM22247463,12.12,MITSUBA CORP,STANLEY,129,1734.0,390,4726.8,0,24,1357.44,12-11-2024,76,Overstock,163,112,10-11-2024,Push PO to 09-25-2024
GM22178457,63.31,Lucas-TVS Limited,Approach (UK) Limited,24,1717.44,5,316.55,0,81,316.55,13-11-2024,7,Optimal,21,5,12-01-2025,
GM22258126,10.32,MITSUBA CORP,STANLEY,15,174.45,0,0.0,0,55,949.44,13-11-2024,12,Understock,98,92,01-09-2024,Place PO
GM22259463,12.72,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",120,2305.32,0,0.0,0,44,101.76,13-11-2024,9,Overstock,34,8,08-03-2025,
GM22141991,10222.64,AUTO-SPEED PARTS,Chevrolet Europe GmbH,81,828327.06,0,0.0,0,62,0.0,13-11-2024,1,Overstock,1,0,,
GM21959484,76.0,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,7,540.47,5,380.0,0,110,0.0,13-11-2024,4,Overstock,4,0,,Push PO to 12-20-2024
GM22140808,40.32,AUTO-SPEED PARTS,Buttonpaper Limited,914,35733.28,0,0.0,0,72,1330.56,15-11-2024,71,Optimal,639,33,13-10-2024,
GM22027671,232.75,Lucas-TVS Limited,Approach (UK) Limited,21,5407.92,13,3025.75,0,168,1396.5,18-11-2024,13,Optimal,25,6,17-10-2024,
GM22201015,52.0,India Nippon Electricals Limited,Buttonpaper Limited,252,14395.02,205,10660.0,0,92,9568.0,18-11-2024,73,Understock,543,184,01-09-2024,Place PO
GM22249529,14.92,MITSUBA CORP,STANLEY,50,831.0,45,671.4,0,49,59.68,18-11-2024,28,Overstock,35,4,14-02-2025,Push PO to 10-20-2024
GM22234104,1455.0,India Nippon Electricals Limited,Buttonpaper Limited,484,705889.8,824,1198920.0,0,120,0.0,19-11-2024,30,Overstock,198,0,,
GM22258120,12.96,MITSUBA CORP,STANLEY,30,469.8,0,0.0,0,49,77.76,19-11-2024,9,Optimal,15,6,21-10-2024,
GM22083744,4.0,ALKAR,"Britain Chevrolet, Inc.",1803,7845.21,1400,5600.0,0,30,448.0,19-11-2024,322,Overstock,779,112,28-12-2024,Push PO to 10-01-2024
GM22246956,9.78,MITSUBA CORP,STANLEY,38,446.44,0,0.0,0,43,0.0,22-11-2024,11,Overstock,11,0,,
GM22081464,4.86,SW HITECH,STANLEY,250,1371.82,50,243.0,0,7,121.5,23-11-2024,43,Overstock,62,25,04-02-2025,
GM22171103,11.47,SW HITECH,Autohaus G.V.O. GmbH,255,3161.07,165,1892.55,0,46,22.94,26-11-2024,36,Overstock,135,2,13-01-2025,
GM22230064,3.0,India Nippon Electricals Limited,Buttonpaper Limited,156,834.6,0,0.0,0,85,54.0,26-11-2024,23,Optimal,137,18,23-09-2024,
GM22215639,341.0,India Nippon Electricals Limited,Buttonpaper Limited,30,11336.7,153,52173.0,0,84,27621.0,26-11-2024,35,Understock,252,81,01-09-2024,Place PO
GM22242798,15000.0,Lucas-TVS Limited,Approach (UK) Limited,13,84613.23,75,1125000.0,0,74,0.0,28-11-2024,10,Overstock,23,0,,
GM22246687,5.06,MITSUBA CORP,STANLEY,1859,10274.78,1015,5135.9,0,37,247.94,28-11-2024,406,Overstock,1337,49,22-10-2024,
GM22185300,25.0,India Nippon Electricals Limited,Chevrolet France,47,1392.61,0,0.0,0,82,0.0,29-11-2024,4,Overstock,4,0,,
GM22178463,127.0,Lucas-TVS Limited,Approach (UK) Limited,2,276.46,9,1143.0,0,33,0.0,02-12-2024,3,Overstock,3,0,,
GM22274900,10.16,MONROE,"Argonaut Holdings, Inc.",578,6879.04,0,0.0,0,99,0.0,03-12-2024,33,Overstock,45,0,,
GM22248482,4.97,MITSUBA CORP,STANLEY,11,62.37,10,49.7,0,52,79.52,06-12-2024,10,Understock,23,16,01-09-2024,Place PO
GM21938562,260.0,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",6,1696.64,30,7800.0,0,43,4160.0,09-12-2024,8,Understock,38,16,01-09-2024,Expedite PO & Place PO
GM22147163,9100.0,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,9,81455.13,6,54600.0,0,124,0.0,09-12-2024,4,Overstock,4,0,,Push PO to 01-03-2025
GM22258033,10.16,MITSUBA CORP,STANLEY,106,1199.92,0,0.0,0,63,0.0,10-12-2024,24,Overstock,28,0,,
GM21907181,20.5,ASYSUM,Buttonpaper Limited,376,7730.56,16,328.0,0,56,533.0,10-12-2024,87,Overstock,144,26,16-04-2025,Push PO to 10-27-2024
GM21932454,26.72,Delphi-TVS Diesel Systems Limited,Autohaus G.V.O. GmbH,50,1626.0,60,1603.2,0,98,213.76,10-12-2024,20,Optimal,72,8,13-05-2025,
GM22070271,52.0,ASYSUM,Buttonpaper Limited,2569,145553.66,0,0.0,0,57,29068.0,11-12-2024,324,Optimal,1628,559,13-10-2024,
GM22147950,905.0,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,88,79645.28,295,266975.0,0,132,37105.0,12-12-2024,66,Optimal,331,41,26-09-2024,
GM22179066,14.9,Lucas-TVS Limited,"Britain Chevrolet, Inc.",26,426.14,0,0.0,0,149,0.0,14-12-2024,2,Overstock,2,0,,
GM22234089,1455.0,India Nippon Electricals Limited,Buttonpaper Limited,372,542134.2,799,1162545.0,0,120,0.0,18-12-2024,30,Overstock,211,0,,
GM21924972,81.88,BBR Automotive,Autohaus G.V.O. GmbH,5,331.35,0,0.0,0,79,0.0,18-12-2024,2,Overstock,2,0,,
GM22147159,2149.93,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,92,197277.44,12,25799.16,0,37,17199.44,20-12-2024,11,Overstock,35,8,26-03-2025,
GM22215103,130.0,F-TECH INC,Boco Trust,7,994.85,3,390.0,0,36,0.0,23-12-2024,3,Overstock,3,0,,
GM22180123,9.0,India Nippon Electricals Limited,Buttonpaper Limited,42,520.38,33,297.0,0,183,810.0,23-12-2024,24,Understock,145,90,01-09-2024,Place PO
GM22247453,10.12,MITSUBA CORP,STANLEY,231,2573.34,0,0.0,0,52,3319.36,30-12-2024,127,Understock,504,328,01-09-2024,Place PO
GM21907180,18.0,ASYSUM,"Argonaut Holdings, Inc.",197,3587.37,92,1656.0,0,56,1458.0,30-12-2024,28,Overstock,119,81,14-10-2024,Push PO to 10-27-2024
GM22021031,856.0,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,30,21179.7,7,5992.0,0,83,0.0,06-01-2025,5,Overstock,6,0,,Push PO to 11-23-2024
GM22144141,757.74,Delphi-TVS Diesel Systems Limited,Autohaus G.V.O. GmbH,6,5304.08,0,0.0,0,245,0.0,07-01-2025,2,Overstock,2,0,,
GM22199905,5348.57,METZGER,Autohaus G.V.O. GmbH,10,58272.18,0,0.0,0,66,0.0,08-01-2025,1,Overstock,1,0,,
GM21928621,27.93,Lucas-TVS Limited,Approach (UK) Limited,103,3069.4,114,3184.02,0,72,111.72,08-01-2025,47,Optimal,148,4,18-11-2024,
GM22246682,4.87,MITSUBA CORP,STANLEY,466,2497.76,310,1509.7,0,51,837.64,09-01-2025,178,Optimal,486,172,16-10-2024,
GM22214601,2860.0,MTS,Autohaus G.V.O. GmbH,11,34139.38,67,191620.0,0,144,171600.0,09-01-2025,26,Understock,131,60,01-09-2024,Expedite PO & Place PO
GM22213835,120.0,ASYSUM,Buttonpaper Limited,17,2230.23,46,5520.0,0,46,120.0,10-01-2025,11,Optimal,49,1,15-09-2024,
GM22021104,1725.0,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,8,13840.88,0,0.0,0,59,0.0,16-01-2025,3,Overstock,3,0,,
GM22247474,14.32,MITSUBA CORP,STANLEY,0,0.0,10,143.2,0,38,1918.88,20-01-2025,24,Understock,51,134,01-09-2024,Pull PO to 09-01-2024 & Place PO
GM22247486,16.72,MITSUBA CORP,STANLEY,65,1188.85,30,501.6,0,47,1070.08,21-01-2025,49,Understock,137,64,01-09-2024,Place PO
GM22159089,53.0,ASYSUM,"Argonaut Holdings, Inc.",1573,83800.68,65,3445.0,0,31,17861.0,27-01-2025,89,Overstock,462,337,08-12-2024,Push PO to 10-02-2024
GM22135805,6000.0,BERAL,Chevrolet Europe GmbH,3,18013.56,0,0.0,0,53,0.0,29-01-2025,1,Overstock,1,0,,
GM22252523,11.83,Delphi-TVS Diesel Systems Limited,STANLEY,89,1154.33,0,0.0,0,54,0.0,29-01-2025,11,Overstock,11,0,,
GM21926734,19.0,TOPRE CORPORATION,"Argonaut Holdings, Inc.",27,513.0,23,437.0,0,66,437.0,29-01-2025,14,Optimal,45,23,28-09-2024,Pull PO to 09-20-2024
GM22040238,2.1,ALKAR,STANLEY,2266,4948.42,0,0.0,0,75,352.8,31-01-2025,264,Overstock,1120,168,06-12-2024,
GM22247272,11.36,MITSUBA CORP,STANLEY,51,644.64,250,2840.0,0,27,45.44,31-01-2025,60,Optimal,161,4,01-11-2024,Pull PO to 09-01-2024
GM21873681,35.0,MTS,Autohaus G.V.O. GmbH,21,827.07,0,0.0,0,51,140.0,06-02-2025,14,Optimal,20,4,29-10-2024,
GM22070273,65.0,ASYSUM,Buttonpaper Limited,984,68805.21,0,0.0,0,49,10725.0,06-02-2025,222,Optimal,726,165,24-09-2024,
GM22144973,16960.0,AUTO-SPEED PARTS,Chevrolet Europe GmbH,28,337500.52,0,0.0,0,51,0.0,10-02-2025,7,Overstock,7,0,,
GM22215657,220.0,India Nippon Electricals Limited,Buttonpaper Limited,76,18078.93,294,64680.0,0,93,63360.0,12-02-2025,73,Understock,543,288,01-09-2024,Place PO
GM22204713,1647.5,ASYSUM,Baker (Crewe) Limited,105,173576.8,0,0.0,0,34,11532.5,19-02-2025,14,Overstock,42,7,12-11-2024,
GM21939945,62.06,MAXTRAC,Boco Trust,18,1136.16,40,2482.4,0,55,682.66,20-02-2025,13,Optimal,52,11,10-09-2024,Pull PO to 09-09-2024 & Place PO
GM22194171,107.0,India Nippon Electricals Limited,Buttonpaper Limited,29,3769.71,0,0.0,0,75,0.0,21-02-2025,3,Overstock,3,0,,
GM22213671,99.0,ASYSUM,Buttonpaper Limited,5,554.9,0,0.0,0,55,0.0,24-02-2025,1,Overstock,1,0,,
GM22246303,5.76,Delphi-TVS Diesel Systems Limited,STANLEY,139,875.7,0,0.0,0,60,167.04,27-02-2025,73,Optimal,86,29,28-12-2024,
GM22242832,0.01,AUTO-SPEED PARTS,"Britain Chevrolet, Inc.",6,1719.36,0,0.0,0,141,0.25,04-03-2025,10,Understock,31,25,01-09-2024,Place PO
GM22030374,103.95,AMPRO,"Argonaut Holdings, Inc.",123,12910.25,225,23388.75,0,135,4054.05,10-03-2025,37,Optimal,342,39,02-09-2024,
GM22025938,30.99,MAXTRAC,Buttonpaper Limited,187,5995.22,0,0.0,0,117,0.0,19-03-2025,13,Overstock,71,0,,
GM22178250,442.7,Lucas-TVS Limited,Approach (UK) Limited,127,59788.43,0,0.0,0,123,0.0,24-03-2025,12,Overstock,59,0,,
GM21918600,17.85,MTS,Autohaus G.V.O. GmbH,25,497.25,0,0.0,0,123,642.6,24-03-2025,25,Understock,60,36,01-09-2024,Place PO
GM22268421,19.72,MITSUBA CORP,STANLEY,25,581.5,0,0.0,0,38,0.0,02-04-2025,4,Overstock,4,0,,
GM22188033,419.0,ASYSUM,Buttonpaper Limited,16,7287.03,20,8380.0,0,29,7123.0,03-04-2025,8,Overstock,12,17,13-01-2025,Push PO to 09-30-2024
GM22260974,99.0,Firestone TVS Private Limited,"Argonaut Holdings, Inc.",564,62491.2,0,0.0,0,17,0.0,07-04-2025,12,Overstock,13,0,,
GM22185870,1188.0,MAXTRAC,Buttonpaper Limited,2,2376.0,1,1188.0,0,87,0.0,14-04-2025,3,Understock,3,0,,Place PO
GM22247281,13.16,MITSUBA CORP,STANLEY,303,4387.11,175,2303.0,0,38,842.24,23-04-2025,94,Overstock,226,64,15-11-2024,Push PO to 10-09-2024
GM21960607,309.8,HERTH+BUSS JAKOPARTS,Autohaus G.V.O. GmbH,30,10146.0,49,15180.2,0,41,0.0,27-04-2025,7,Overstock,7,0,,Push PO to 10-12-2024
GM22213665,20.75,ASYSUM,Buttonpaper Limited,113,2490.61,0,0.0,0,50,249.0,29-04-2025,15,Optimal,74,12,29-09-2024,
GM22230643,483.0,India Nippon Electricals Limited,Buttonpaper Limited,17,9171.33,13,6279.0,0,103,483.0,29-04-2025,10,Optimal,23,1,26-10-2024,
GM22130211,1230.25,HYUNDAI ELECTRIC,Chevrolet Europe GmbH,5,6181.25,24,29526.0,0,77,9842.0,01-05-2025,7,Overstock,9,8,01-05-2025,Push PO to 11-17-2024
GM22252518,10.54,Delphi-TVS Diesel Systems Limited,STANLEY,35,471.45,0,0.0,0,57,0.0,01-05-2025,7,Overstock,7,0,,
GM22177822,16.0,ASYSUM,Buttonpaper Limited,53,965.06,51,816.0,0,44,288.0,02-05-2025,21,Overstock,40,18,05-01-2025,Push PO to 10-15-2024
GM22250038,10.16,MITSUBA CORP,STANLEY,1271,14095.07,120,1219.2,0,40,619.76,06-05-2025,110,Overstock,411,61,12-01-2025,Push PO to 10-11-2024
GM22162717,475.0,"FANGDA SPECIAL STEEL TECHNOLOGY CO., LTD",Approach (UK) Limited,12,6215.76,0,0.0,0,39,0.0,07-05-2025,2,Overstock,2,0,,
GM22169482,419.42,Lucas-TVS Limited,"Britain Chevrolet, Inc.",62,28337.1,58,24326.36,0,109,419.42,09-05-2025,25,Optimal,118,1,05-09-2024,
GM22230239,1311.0,India Nippon Electricals Limited,Buttonpaper Limited,20,26266.6,2,2622.0,0,60,28842.0,09-05-2025,11,Understock,43,22,01-09-2024,Place PO
GM21922329,33.0,TOPRE CORPORATION,"Argonaut Holdings, Inc.",99,4065.93,0,0.0,0,30,0.0,09-05-2025,7,Overstock,9,0,,
GM22209751,30.0,India Nippon Electricals Limited,Buttonpaper Limited,19,646.57,219,6570.0,0,75,2400.0,12-05-2025,45,Understock,278,80,01-09-2024,Place PO
GM22248665,5.28,MITSUBA CORP,STANLEY,339,1976.37,30,158.4,0,51,47.52,22-05-2025,140,Optimal,323,9,09-09-2024,
GM21933091,801.13,Delphi-TVS Diesel Systems Limited,Autohaus G.V.O. GmbH,4,3433.84,8,6409.04,0,93,0.0,28-06-2025,4,Overstock,4,0,,Push PO to 12-03-2024
GM22241485,109.0,AMPRO,"Argonaut Holdings, Inc.",292,31845.52,0,0.0,0,134,14061.0,22-08-2025,128,Optimal,282,129,04-09-2024,
GM22252528,13.1,Delphi-TVS Diesel Systems Limited,STANLEY,116,1659.96,0,0.0,0,54,0.0,30-08-2025,14,Overstock,14,0,,
GM22199881,3281.56,METZGER,Autohaus G.V.O. GmbH,6,21404.78,16,52504.96,0,42,0.0,01-09-2025,5,Overstock,5,0,,Push PO to 10-13-2024
