Mat ID,Inventory Turn Over Rate,Forecast Accuracy,Fill Rate,Back Order Rate
GM22180123,6.51,0.0,100.0,0.0
GM22247453,6.31,0.0,88.83,100.0
GM21907180,3.86,0.0,99.77,0.57
GM22246682,9.79,0.0,95.66,0.0
GM22213835,6.86,0.0,100.0,0.0
GM22040238,0.86,0.0,100.0,0.0
GM22215657,12.35,0.0,95.91,0.0
GM22268394,9.21,0.0,8.87,85.21
GM22025938,0.9,0.0,99.19,16.67
GM22030374,8.91,0.0,81.04,0.0
GM22209751,5.89,0.0,100.0,0.0
GM22248665,5.48,0.0,81.67,7.98
GM22278454,3.49,0.0,98.13,1.23
GM22147943,9.32,0.0,99.48,0.0
GM22202648,12.42,0.0,76.17,23.53
GM22213839,6.95,0.0,99.16,1.15
GM22247454,3.24,0.0,99.39,25.0
GM21892335,7.74,0.0,93.74,18.75
GM22213712,5.42,0.0,95.14,0.0
GM22127143,0.0,0.0,6.46,16.07
GM22165943,4.27,0.0,99.06,0.0
GM22209486,7.93,0.0,92.74,0.0
GM22295648,0.26,0.0,100.0,0.0
GM22230265,4.27,0.0,100.0,0.0
GM22070270,1.54,0.0,99.36,0.0
GM22154608,2.93,0.0,100.0,0.0
GM22021163,2.2,0.0,99.6,0.0
GM21925475,8.69,0.0,93.73,7.07
GM22209500,9.41,0.0,94.42,15.38
GM22258120,3.68,0.0,92.19,0.0
GM22144141,0.84,0.0,75.0,0.0
GM22247272,7.05,0.0,87.38,0.0
GM21945117,1.73,0.0,100.0,0.0
GM22189750,5.0,0.0,94.36,0.0
GM22257165,0.0,0.0,0.0,0.0
GM32159300,8.0,40.88,92.4,84.85
GM32159301,8.32,37.46,10.43,57.85
GM32159302,18.68,78.44,38.69,68.11
GM32159303,0.96,79.92,84.04,61.31
GM32159304,2.45,60.72,11.84,14.67
GM32159305,14.15,64.31,54.91,63.03
GM32159306,11.75,12.26,27.56,80.56
GM32159307,5.43,79.88,74.5,50.09
GM32159308,7.78,57.55,12.93,38.71
GM32159309,3.41,81.33,43.19,59.44
GM32159310,4.71,46.15,33.24,6.83
GM32159311,18.91,69.48,20.41,79.62
GM32159312,4.88,22.19,42.98,7.23
GM32159313,10.87,79.66,82.91,66.23
GM32159314,15.1,89.4,54.12,80.06
GM32159315,18.92,49.73,67.76,53.0
GM32159316,2.43,28.02,87.86,3.21
GM32159317,14.89,12.84,72.63,25.74
GM32159318,13.43,3.74,86.25,69.96
GM32159319,5.54,11.19,4.18,90.09
GM32159320,19.29,0.2,97.09,53.14
GM32159321,5.96,72.19,67.95,27.34
GM32159322,17.59,35.52,96.5,36.83
GM32159323,3.74,3.22,54.17,95.08
GM32159324,15.52,53.52,3.66,47.22
GM32159325,6.36,27.39,12.36,94.34
GM32159326,13.06,36.42,91.66,3.7
GM32159327,5.31,41.53,50.4,18.96
GM32159328,2.37,66.45,79.05,21.31
GM32159329,9.54,54.83,30.29,13.05
GM32159330,3.02,97.33,90.2,76.7
GM32159331,9.25,34.16,32.39,64.81
GM32159332,9.24,98.73,89.82,52.37
GM32159333,16.15,10.23,35.54,22.33
GM32159334,3.55,36.46,27.85,54.02
GM32159335,15.21,61.32,13.93,5.08
GM32159336,18.67,16.49,48.07,44.3
GM32159337,4.51,73.19,11.08,22.27
GM32159338,11.37,12.74,0.75,48.62
GM32159339,1.58,31.31,36.21,44.45
GM32159340,13.8,45.61,17.98,36.16
GM32159341,13.49,10.41,62.29,58.63
GM32159342,2.82,55.56,45.77,63.47
GM32159343,15.91,40.89,11.5,0.03
GM32159344,5.73,65.2,1.44,3.5
GM32159345,1.4,80.59,63.39,16.9
GM32159346,2.22,47.83,3.71,68.16
GM32159347,10.55,4.95,96.02,65.52
GM32159348,16.75,80.67,31.4,36.34
GM32159349,11.36,52.05,98.29,54.5
GM32159350,12.73,44.43,0.7,32.7
GM32159351,10.47,54.84,4.29,17.59
GM32159352,14.73,60.39,76.95,7.04
GM32159353,17.25,37.9,87.46,39.67
GM32159354,17.91,28.66,57.1,57.11
GM32159355,9.19,31.72,65.77,87.46
GM32159356,0.18,4.38,15.04,12.43
GM32159357,6.8,74.81,40.2,79.99
GM32159358,2.78,68.18,15.44,2.43
GM32159359,8.1,95.32,21.52,29.35
GM32159360,18.82,83.45,88.63,62.55
GM32159361,4.79,19.53,70.59,91.5
GM32159362,14.48,75.05,19.39,46.94
GM32159363,6.55,99.94,13.56,26.96
GM32159364,9.79,32.39,23.3,67.38
GM32159365,12.09,7.02,57.43,43.77
GM32159366,16.95,78.02,89.83,37.98
GM32159367,20.41,10.82,93.76,43.65
GM32159368,7.44,11.66,11.04,99.2
GM32159369,0.51,40.8,55.63,87.31
GM32159370,10.38,46.61,62.29,15.59
GM32159371,14.8,39.16,83.56,37.05
GM32159372,12.99,42.84,63.01,99.5
GM32159373,10.99,20.43,42.05,99.39
GM32159374,16.63,7.61,61.49,50.48
GM32159375,7.1,83.56,75.87,26.68
GM32159376,9.42,94.36,43.71,14.61
GM32159377,9.69,65.24,80.73,30.27
GM32159378,6.3,32.35,24.02,16.73
GM32159379,5.59,21.29,4.08,40.29
GM32159380,0.98,31.06,52.2,32.45
GM32159381,3.9,4.63,82.5,60.48
GM32159382,7.64,23.96,75.9,83.06
GM32159383,9.1,34.17,80.69,2.99
GM32159384,4.89,82.74,43.75,97.03
GM32159385,9.16,20.51,92.44,17.58
GM32159386,8.14,98.18,20.95,36.37
GM32159387,12.73,24.76,28.45,69.02
GM32159388,1.81,69.45,73.87,27.68
GM32159389,18.15,14.14,11.8,62.89
GM32159390,7.6,93.1,64.39,8.74
GM32159391,8.14,3.32,37.8,25.45
GM32159392,8.45,81.1,60.5,67.89
GM32159393,15.8,7.01,57.87,78.02
GM32159394,12.18,91.72,30.57,39.56
GM32159395,0.32,25.34,17.6,37.35
GM32159396,3.67,82.73,97.28,44.78
GM32159397,18.3,83.61,46.26,26.36
GM32159398,3.98,86.63,69.93,75.06
GM32159399,7.56,19.01,74.09,26.05
GM32159400,10.98,13.99,80.37,15.71
GM32159401,17.3,34.46,82.92,5.22
GM32159402,2.72,55.62,4.58,27.37
GM32159403,15.6,20.46,9.95,62.66
GM32159404,2.92,90.47,21.0,38.85
GM32159405,10.85,47.45,80.86,40.59
GM32159406,17.05,7.47,7.26,66.18
GM32159407,17.24,11.94,39.0,80.7
GM32159408,0.7,76.94,98.73,14.48
GM32159409,10.13,11.66,69.44,11.29
GM32159410,13.25,38.96,44.59,88.58
GM32159411,18.38,46.79,12.59,20.18
GM32159412,10.56,42.86,41.83,79.78
GM32159413,3.58,92.13,80.12,54.62
GM32159414,8.87,89.03,7.5,71.19
GM32159415,9.23,95.15,36.49,84.91
GM32159416,6.15,77.01,4.68,5.25
GM32159417,10.86,29.24,75.53,98.0
GM32159418,4.64,43.41,49.26,68.49
GM32159419,19.35,6.89,59.9,57.83
GM32159420,4.87,42.99,95.46,76.35
GM32159421,9.69,50.5,75.46,6.78
GM32159422,0.22,32.02,31.25,4.84
GM32159423,20.38,69.71,78.54,91.15
GM32159424,3.91,72.63,69.52,65.42
GM32159425,16.03,23.42,10.25,81.02
GM32159426,11.4,75.16,30.09,33.05
GM32159427,5.52,48.87,63.41,19.97
GM32159428,7.63,5.8,7.18,96.76
GM32159429,15.35,74.33,42.69,84.73
GM32159430,6.21,69.59,25.07,10.6
GM32159431,10.46,98.73,72.55,77.13
GM32159432,3.01,35.48,38.24,70.57
GM32159433,0.24,5.06,92.96,69.48
GM32159434,15.77,23.68,87.85,11.12
GM32159435,2.3,49.63,95.02,37.85
GM32159436,7.86,30.75,46.2,17.14
GM32159437,12.0,61.52,28.96,26.83
GM32159438,18.38,25.68,82.76,42.4
GM32159439,14.51,19.93,21.94,77.22
GM32159440,9.5,94.82,90.54,89.21
GM32159441,10.92,63.51,66.67,35.95
GM32159442,3.85,1.01,74.85,49.43
GM32159443,2.21,56.57,97.42,82.16
GM32159444,16.74,90.86,18.33,0.88
GM32159445,16.0,72.08,86.2,13.26
GM32159446,9.42,50.08,95.83,28.46
GM32159447,0.87,98.74,25.65,30.19
GM32159448,7.21,11.36,90.37,85.88
GM32159449,14.68,37.54,87.8,52.91
GM32159450,18.32,92.89,34.03,98.38
GM32159451,16.18,86.52,6.93,8.74
GM32159452,3.09,49.58,13.34,48.95
GM32159453,15.24,89.35,75.3,31.86
GM32159454,9.41,51.53,12.57,47.0
GM32159455,9.92,33.93,92.18,20.01
GM32159456,7.07,70.95,26.67,92.64
GM32159457,7.98,8.7,84.47,44.11
GM32159458,18.36,36.75,11.34,35.07
GM32159459,10.11,59.18,2.98,96.02
GM32159460,6.13,99.04,92.53,38.95
GM32159461,2.0,76.49,43.99,80.3
GM32159462,4.69,50.2,63.2,47.37
GM32159463,4.57,90.09,78.73,85.48
GM32159464,1.67,28.2,53.71,49.32
GM32159465,6.55,11.88,36.84,91.53
GM32159466,18.6,76.47,2.85,12.37
GM32159467,14.4,61.19,79.04,57.83
GM32159468,12.63,15.95,44.46,37.12
GM32159469,15.17,67.7,31.68,36.86
GM32159470,15.42,41.08,53.67,25.21
GM32159471,4.48,65.26,86.24,0.27
GM32159472,2.92,33.2,83.37,38.54
GM32159473,6.38,40.14,64.16,35.85
GM32159474,12.37,65.25,68.64,69.8
GM32159475,12.26,92.76,72.63,76.65
GM32159476,17.2,35.23,36.94,51.67
GM32159477,18.32,24.82,34.0,62.19
GM32159478,7.08,72.76,8.61,68.54
GM32159479,0.88,53.38,59.57,23.05
GM32159480,11.02,79.0,25.43,77.15
GM32159481,8.09,19.33,64.77,92.39
GM32159482,14.07,67.19,96.75,76.68
GM32159483,3.27,7.61,19.43,53.25
GM32159484,15.42,57.86,4.21,55.38
GM32159485,15.64,76.63,81.46,23.37
GM32159486,0.49,83.48,3.35,50.7
GM32159487,6.77,57.88,6.52,63.22
GM32159488,7.32,16.91,82.57,82.72
GM32159489,19.67,84.59,45.76,7.93
GM32159490,7.93,19.07,96.87,48.76
GM32159491,15.37,23.36,36.73,8.42
GM32159492,18.64,25.49,36.71,42.2
GM32159493,2.64,52.58,42.59,45.03
GM32159494,12.39,20.08,83.89,44.61
GM32159495,17.29,6.5,50.44,60.72
GM32159496,16.63,48.66,44.04,36.98
GM32159497,17.25,56.52,29.44,75.04
GM32159498,6.76,24.92,37.75,42.88
GM32159499,11.12,8.33,64.91,5.53
GM32159500,13.66,38.94,75.2,38.59
GM32159501,16.34,67.67,92.48,72.41
GM32159502,17.42,76.09,68.41,3.28
GM32159503,11.02,0.38,53.06,98.13
GM32159504,8.95,28.21,65.1,84.48
GM32159505,16.06,96.84,6.36,63.33
GM32159506,18.29,99.95,67.36,64.82
GM32159507,14.97,30.82,26.09,60.53
GM32159508,5.76,30.77,55.64,98.06
GM32159509,2.01,30.22,11.09,5.21
GM32159510,6.58,79.81,81.82,34.24
GM32159511,3.09,67.56,52.9,8.41
GM32159512,4.26,55.07,41.15,66.63
GM32159513,19.26,20.96,1.36,76.4
GM32159514,1.19,7.49,82.22,92.9
GM32159515,2.0,53.33,6.63,78.29
GM32159516,20.16,55.09,63.89,75.81
GM32159517,8.27,66.54,44.53,2.37
GM32159518,5.65,60.86,20.67,0.24
GM32159519,19.32,86.38,74.59,3.51
GM32159520,13.03,67.51,58.96,32.27
GM32159521,7.75,12.59,67.65,89.88
GM32159522,4.8,70.94,88.17,23.4
GM32159523,1.76,86.23,33.81,57.75
GM32159524,5.56,24.65,81.73,87.29
GM32159525,9.18,77.16,1.93,41.21
GM32159526,18.6,36.71,76.89,11.32
GM32159527,11.94,62.82,64.67,83.67
GM32159528,12.37,83.35,33.58,70.85
GM32159529,12.89,41.92,83.27,6.05
GM32159530,8.41,31.18,86.61,93.41
GM32159531,9.41,77.92,82.83,77.7
GM32159532,7.14,31.73,36.07,10.2
GM32159533,18.87,34.71,69.85,35.87
GM32159534,16.86,97.06,52.68,78.95
GM32159535,19.96,66.4,0.11,92.03
GM32159536,16.81,97.56,9.29,64.63
GM32159537,1.32,73.36,84.65,87.07
GM32159538,4.63,97.7,36.33,27.66
GM32159539,0.27,95.9,30.82,46.56
GM32159540,6.94,36.28,58.93,95.73
GM32159541,0.61,26.9,58.23,61.46
GM32159542,16.1,4.55,38.19,80.46
GM32159543,3.26,0.7,63.88,34.35
GM32159544,1.76,48.84,92.03,57.9
GM32159545,0.96,93.13,7.25,4.52
GM32159546,10.29,73.23,56.65,49.18
GM32159547,6.03,32.09,79.5,17.64
GM32159548,19.13,54.5,32.78,44.92
GM32159549,6.38,48.13,15.39,51.53
GM32159550,9.76,61.11,64.67,79.87
GM32159551,13.14,29.36,57.8,43.93
GM32159552,17.7,83.14,87.93,45.52
GM32159553,15.08,3.33,26.61,62.08
GM32159554,8.82,96.11,7.23,26.19
GM32159555,2.98,64.0,54.5,48.66
GM32159556,3.25,73.95,29.71,86.47
GM32159557,16.21,74.5,30.95,93.46
GM32159558,2.75,29.77,6.09,1.15
GM32159559,8.84,65.76,7.12,26.36
GM32159560,17.56,73.76,85.65,11.38
GM32159561,2.35,63.55,78.13,49.91
GM32159562,18.07,77.61,62.65,51.99
GM32159563,6.4,39.6,41.84,64.0
GM32159564,1.86,63.67,67.77,47.29
GM32159565,17.57,32.39,89.95,63.61
GM32159566,16.1,50.25,28.51,97.95
GM32159567,7.5,2.4,9.51,7.25
GM32159568,15.24,37.16,75.83,62.48
GM32159569,2.85,48.28,38.46,74.38
GM32159570,15.72,48.67,38.38,89.71
GM32159571,1.43,56.51,93.61,86.07
GM32159572,2.47,58.86,61.26,88.69
GM32159573,9.27,12.9,17.23,24.55
GM32159574,0.29,47.42,38.74,65.73
GM32159575,2.06,14.77,65.2,90.84
GM32159576,7.74,11.89,72.43,51.5
GM32159577,9.06,77.29,12.66,98.0
GM32159578,14.47,9.75,48.28,75.46
GM32159579,12.51,69.55,54.79,24.58
GM32159580,19.55,95.36,83.51,25.3
GM32159581,3.43,69.99,35.46,40.04
GM32159582,3.9,86.56,68.46,15.01
GM32159583,4.58,80.43,6.41,26.54
GM32159584,13.86,58.18,94.51,11.84
GM32159585,7.6,62.52,60.05,68.4
GM32159586,5.19,55.46,56.31,56.7
GM32159587,13.24,86.0,93.36,67.79
GM32159588,20.33,69.49,53.78,73.33
GM32159589,17.91,37.15,88.35,51.43
GM32159590,15.58,77.53,92.0,0.43
GM32159591,11.99,19.07,92.53,93.25
GM32159592,10.16,62.58,80.78,62.55
GM32159593,5.46,17.97,4.04,1.71
GM32159594,17.32,33.3,52.93,41.49
GM32159595,5.47,46.98,56.81,89.74
GM32159596,8.55,37.91,52.51,55.5
GM32159597,19.27,23.65,30.9,51.14
GM32159598,3.48,51.19,85.93,98.96
GM32159599,7.86,18.92,26.77,75.29
GM32159600,7.3,32.84,77.26,78.6
GM32159601,6.88,18.79,49.87,1.97
GM32159602,11.62,21.25,49.66,51.52
GM32159603,19.84,97.86,34.96,44.55
GM32159604,6.08,28.81,91.52,89.69
GM32159605,18.02,35.36,17.49,15.15
GM32159606,2.6,13.37,9.3,12.35
GM32159607,8.89,53.8,40.74,85.88
GM32159608,19.19,3.29,99.06,23.88
GM32159609,4.19,18.79,1.55,67.05
GM32159610,3.67,91.51,46.46,3.99
GM32159611,17.71,47.37,25.81,87.75
GM32159612,1.96,0.72,82.64,70.09
GM32159613,2.89,11.31,2.63,36.45
GM32159614,6.34,20.82,19.53,58.13
GM32159615,8.04,8.1,8.66,54.65
GM32159616,11.66,65.88,21.4,35.33
GM32159617,15.61,70.53,8.9,67.14
GM32159618,13.1,13.34,81.37,79.8
GM32159619,13.96,63.76,89.48,87.49
GM32159620,1.7,65.01,98.62,24.4
GM32159621,4.14,51.87,14.33,23.4
GM32159622,8.98,20.94,87.34,83.44
GM32159623,1.41,89.6,21.0,93.31
GM32159624,17.24,97.1,0.83,46.24
GM32159625,18.41,1.82,10.01,99.06
GM32159626,12.85,72.69,76.38,84.76
GM32159627,9.61,53.74,16.65,22.38
GM32159628,15.34,53.5,44.08,44.89
GM32159629,6.12,47.27,10.0,18.98
GM32159630,2.05,73.21,44.65,19.81
GM32159631,10.64,68.71,66.74,63.43
GM32159632,16.07,7.6,20.99,28.58
GM32159633,8.12,66.01,91.11,1.28
GM32159634,13.49,58.62,1.52,78.29
GM32159635,17.48,99.81,73.26,85.96
GM32159636,6.35,74.38,84.83,82.12
GM32159637,20.02,66.89,78.96,26.97
GM32159638,17.1,3.25,13.6,17.02
GM32159639,3.26,80.45,13.06,21.9
GM32159640,15.79,37.57,4.96,56.75
GM32159641,1.41,28.14,62.43,18.34
GM32159642,7.49,4.66,64.74,80.32
GM32159643,1.88,68.94,97.81,22.4
GM32159644,16.68,35.7,46.48,68.85
GM32159645,11.62,15.68,44.29,48.77
GM32159646,8.86,17.73,11.59,9.85
GM32159647,11.54,67.13,4.5,99.12
GM32159648,11.39,56.7,50.95,97.75
GM32159649,19.6,61.06,12.61,53.73
GM32159650,0.29,59.87,14.39,82.9
GM32159651,10.8,16.51,41.37,44.14
GM32159652,11.3,78.53,66.17,31.09
GM32159653,18.07,26.38,98.96,24.77
GM32159654,4.97,14.56,27.64,7.99
GM32159655,4.23,45.45,4.42,45.58
GM32159656,9.3,23.84,20.19,6.32
GM32159657,8.9,10.58,63.96,20.57
GM32159658,8.71,65.76,68.88,10.24
GM32159659,2.0,58.72,87.86,15.87
GM32159660,17.93,1.71,7.54,62.73
GM32159661,9.87,58.12,59.04,47.07
GM32159662,1.06,92.37,93.9,84.12
GM32159663,8.43,51.36,16.86,45.51
GM32159664,13.51,72.26,33.66,62.06
GM32159665,15.44,30.7,87.3,36.02
GM32159666,11.0,60.97,89.64,32.59
GM32159667,11.27,47.87,89.0,68.32
GM32159668,20.06,81.77,98.63,76.6
GM32159669,1.58,17.28,12.5,40.3
GM32159670,3.51,97.27,93.1,10.21
GM32159671,13.21,25.12,21.33,38.17
GM32159672,10.26,34.56,23.33,81.3
GM32159673,9.15,46.14,48.32,54.37
GM32159674,14.06,39.15,83.41,51.37
GM32159675,7.19,83.23,99.21,1.06
GM32159676,15.91,88.06,35.91,72.72
GM32159677,5.59,83.36,3.38,88.81
GM32159678,10.63,58.08,95.45,58.39
GM32159679,15.54,65.22,29.12,44.13
GM32159680,19.59,13.43,68.49,99.27
GM32159681,6.74,59.36,87.9,98.5
GM32159682,2.79,9.7,66.0,92.98
GM32159683,5.51,29.58,59.22,87.23
GM32159684,1.93,86.76,56.75,14.59
GM32159685,2.32,92.05,23.05,44.89
GM32159686,4.87,82.44,49.78,90.44
GM32159687,14.45,19.13,89.25,92.0
GM32159688,6.14,85.78,75.81,80.4
GM32159689,19.39,3.12,0.01,77.04
GM32159690,9.1,39.97,2.83,23.57
GM32159691,5.41,20.47,90.23,71.05
GM32159692,9.86,1.82,67.92,17.23
GM32159693,12.98,37.75,17.25,13.62
GM32159694,7.55,25.25,73.89,99.64
GM32159695,11.77,26.55,12.18,67.1
GM32159696,7.45,5.03,2.25,97.13
GM32159697,17.31,58.63,3.21,39.16
GM32159698,4.11,56.67,28.37,73.42
GM32159699,12.63,1.84,50.56,25.21
